# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf0.5342
response_time_bucket{method="Logout",le="60"} 0
response_time_bucket{method="Logout",le="70"} 0
response_time_bucket{method="Logout",le="80"} 0
response_time_bucket{method="Logout",le="90"} 0
response_time_bucket{method="Logout",le="100"} 0
response_time_bucket{method="Logout",le="200"} 0
response_time_bucket{method="Logout",le="300"} 0
response_time_bucket{method="Logout",le="400"} 0
response_time_bucket{method="Logout",le="500"} 0
response_time_bucket{method="Logout",le="600"} 0
response_time_bucket{method="Logout",le="700"} 138
response_time_bucket{method="Logout",le="800"} 147
response_time_bucket{method="Logout",le="900"} 174
response_time_bucket{method="Logout",le="1000"} 195
response_time_bucket{method="Logout",le="1500"} 200
response_time_bucket{method="Logout",le="2000"} 200
response_time_bucket{method="Logout",le="2500"} 200
response_time_bucket{method="Logout",le="3000"} 200
response_time_bucket{method="Logout",le="3500"} 200
response_time_bucket{method="Logout",le="4000"} 200
response_time_bucket{method="Logout",le="4500"} 200
response_time_bucket{method="Logout",le="5000"} 200
response_time_bucket{method="Logout",le="5500"} 200
response_time_bucket{method="Logout",le="6000"} 200
response_time_bucket{method="Logout",le="6500"} 200
response_time_bucket{method="Logout",le="7000"} 200
response_time_bucket{method="Logout",le="7500"} 200
response_time_bucket{method="Logout",le="8000"} 200
response_time_bucket{method="Logout",le="8500"} 200
response_time_bucket{method="Logout",le="9000"} 200
response_time_bucket{method="Logout",le="9500"} 200
response_time_bucket{method="Logout",le="10000"} 200
response_time_bucket{method="Logout",le="15000"} 200
response_time_bucket{method="Logout",le="30000"} 200
response_time_bucket{method="Logout",le="+Inf"} 200
response_time_sum{method="GetWorklistTree"} 43735000.5342
response_time_count{method="GetWorklistTree"} 991
response_time_bucket{method="GetWorklistTree",le="1"} 0
response_time_bucket{method="GetWorklistTree",le="2"} 0
response_time_bucket{method="GetWorklistTree",le="3"} 0
response_time_bucket{method="GetWorklistTree",le="4"} 0
response_time_bucket{method="GetWorklistTree",le="5"} 0
response_time_bucket{method="GetWorklistTree",le="6"} 0
response_time_bucket{method="GetWorklistTree",le="7"} 0
response_time_bucket{method="GetWorklistTree",le="8"} 0
response_time_bucket{method="GetWorklistTree",le="9"} 0
response_time_bucket{method="GetWorklistTree",le="10"} 0
response_time_bucket{method="GetWorklistTree",le="20"} 0
response_time_bucket{method="GetWorklistTree",le="30"} 0
response_time_bucket{method="GetWorklistTree",le="40"} 0
response_time_bucket{method="GetWorklistTree",le="50"} 0
response_time_bucket{method="GetWorklistTree",le="60"} 0
response_time_bucket{method="GetWorklistTree",le="70"} 0
response_time_bucket{method="GetWorklistTree",le="80"} 0
response_time_bucket{method="GetWorklistTree",le="90"} 0
response_time_bucket{method="GetWorklistTree",le="100"} 0
response_time_bucket{method="GetWorklistTree",le="200"} 0
response_time_bucket{method="GetWorklistTree",le="300"} 0
response_time_bucket{method="GetWorklistTree",le="400"} 0
response_time_bucket{method="GetWorklistTree",le="500"} 0
response_time_bucket{method="GetWorklistTree",le="600"} 0
response_time_bucket{method="GetWorklistTree",le="700"} 0
response_time_bucket{method="GetWorklistTree",le="800"} 0
response_time_bucket{method="GetWorklistTree",le="900"} 0
response_time_bucket{method="GetWorklistTree",le="1000"} 0
response_time_bucket{method="GetWorklistTree",le="1500"} 0
response_time_bucket{method="GetWorklistTree",le="2000"} 0
response_time_bucket{method="GetWorklistTree",le="2500"} 0
response_time_bucket{method="GetWorklistTree",le="3000"} 0
response_time_bucket{method="GetWorklistTree",le="3500"} 397
response_time_bucket{method="GetWorklistTree",le="4000"} 463
response_time_bucket{method="GetWorklistTree",le="4500"} 640
response_time_bucket{method="GetWorklistTree",le="5000"} 895
response_time_bucket{method="GetWorklistTree",le="5500"} 903
response_time_bucket{method="GetWorklistTree",le="6000"} 937
response_time_bucket{method="GetWorklistTree",le="6500"} 938
response_time_bucket{method="GetWorklistTree",le="7000"} 955
response_time_bucket{method="GetWorklistTree",le="7500"} 982
response_time_bucket{method="GetWorklistTree",le="8000"} 990
response_time_bucket{method="GetWorklistTree",le="8500"} 991
response_time_bucket{method="GetWorklistTree",le="9000"} 991
response_time_bucket{method="GetWorklistTree",le="9500"} 991
response_time_bucket{method="GetWorklistTree",le="10000"} 991
response_time_bucket{method="GetWorklistTree",le="15000"} 991
response_time_bucket{method="GetWorklistTree",le="30000"} 991
response_time_bucket{method="GetWorklistTree",le="+Inf"} 991
response_time_sum{method="GetReportsAndThumbnails"} 54150000.5342
response_time_count{method="GetReportsAndThumbnails"} 441
response_time_bucket{method="GetReportsAndThumbnails",le="1"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="10"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="20"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="30"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="40"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="50"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="60"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="70"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="80"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="90"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="100"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="200"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="300"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="400"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="600"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="700"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="800"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="900"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="1000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="1500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="10000"} 96
response_time_bucket{method="GetReportsAndThumbnails",le="15000"} 363
response_time_bucket{method="GetReportsAndThumbnails",le="30000"} 378
response_time_bucket{method="GetReportsAndThumbnails",le="+Inf"} 441
response_time_sum{method="GetPatientHistory"} 5060.5342
response_time_count{method="GetPatientHistory"} 241
response_time_bucket{method="GetPatientHistory",le="1"} 1
response_time_bucket{method="GetPatientHistory",le="2"} 222
response_time_bucket{method="GetPatientHistory",le="3"} 239
response_time_bucket{method="GetPatientHistory",le="4"} 240
response_time_bucket{method="GetPatientHistory",le="5"} 240
response_time_bucket{method="GetPatientHistory",le="6"} 240
response_time_bucket{method="GetPatientHistory",le="7"} 240
response_time_bucket{method="GetPatientHistory",le="8"} 241
response_time_bucket{method="GetPatientHistory",le="9"} 241
response_time_bucket{method="GetPatientHistory",le="10"} 241
response_time_bucket{method="GetPatientHistory",le="20"} 241
response_time_bucket{method="GetPatientHistory",le="30"} 241
response_time_bucket{method="GetPatientHistory",le="40"} 241
response_time_bucket{method="GetPatientHistory",le="50"} 241
response_time_bucket{method="GetPatientHistory",le="60"} 241
response_time_bucket{method="GetPatientHistory",le="70"} 241
response_time_bucket{method="GetPatientHistory",le="80"} 241
response_time_bucket{method="GetPatientHistory",le="90"} 241
response_time_bucket{method="GetPatientHistory",le="100"} 241
response_time_bucket{method="GetPatientHistory",le="200"} 241
response_time_bucket{method="GetPatientHistory",le="300"} 241
response_time_bucket{method="GetPatientHistory",le="400"} 241
response_time_bucket{method="GetPatientHistory",le="500"} 241
response_time_bucket{method="GetPatientHistory",le="600"} 241
response_time_bucket{method="GetPatientHistory",le="700"} 241
response_time_bucket{method="GetPatientHistory",le="800"} 241
response_time_bucket{method="GetPatientHistory",le="900"} 241
response_time_bucket{method="GetPatientHistory",le="1000"} 241
response_time_bucket{method="GetPatientHistory",le="1500"} 241
response_time_bucket{method="GetPatientHistory",le="2000"} 241
response_time_bucket{method="GetPatientHistory",le="2500"} 241
response_time_bucket{method="GetPatientHistory",le="3000"} 241
response_time_bucket{method="GetPatientHistory",le="3500"} 241
response_time_bucket{method="GetPatientHistory",le="4000"} 241
response_time_bucket{method="GetPatientHistory",le="4500"} 241
response_time_bucket{method="GetPatientHistory",le="5000"} 241
response_time_bucket{method="GetPatientHistory",le="5500"} 241
response_time_bucket{method="GetPatientHistory",le="6000"} 241
response_time_bucket{method="GetPatientHistory",le="6500"} 241
response_time_bucket{method="GetPatientHistory",le="7000"} 241
response_time_bucket{method="GetPatientHistory",le="7500"} 241
response_time_bucket{method="GetPatientHistory",le="8000"} 241
response_time_bucket{method="GetPatientHistory",le="8500"} 241
response_time_bucket{method="GetPatientHistory",le="9000"} 241
response_time_bucket{method="GetPatientHistory",le="9500"} 241
response_time_bucket{method="GetPatientHistory",le="10000"} 241
response_time_bucket{method="GetPatientHistory",le="15000"} 241
response_time_bucket{method="GetPatientHistory",le="30000"} 241
response_time_bucket{method="GetPatientHistory",le="+Inf"} 241
response_time_sum{method="GetLanguage"} 65900.5342
response_time_count{method="GetLanguage"} 312
response_time_bucket{method="GetLanguage",le="1"} 0
response_time_bucket{method="GetLanguage",le="2"} 0
response_time_bucket{method="GetLanguage",le="3"} 0
response_time_bucket{method="GetLanguage",le="4"} 0
response_time_bucket{method="GetLanguage",le="5"} 0
response_time_bucket{method="GetLanguage",le="6"} 0
response_time_bucket{method="GetLanguage",le="7"} 0
response_time_bucket{method="GetLanguage",le="8"} 0
response_time_bucket{method="GetLanguage",le="9"} 0
response_time_bucket{method="GetLanguage",le="10"} 0
response_time_bucket{method="GetLanguage",le="20"} 277
response_time_bucket{method="GetLanguage",le="30"} 312
response_time_bucket{method="GetLanguage",le="40"} 312
response_time_bucket{method="GetLanguage",le="50"} 312
response_time_bucket{method="GetLanguage",le="60"} 312
response_time_bucket{method="GetLanguage",le="70"} 312
response_time_bucket{method="GetLanguage",le="80"} 312
response_time_bucket{method="GetLanguage",le="90"} 312
response_time_bucket{method="GetLanguage",le="100"} 312
response_time_bucket{method="GetLanguage",le="200"} 312
response_time_bucket{method="GetLanguage",le="300"} 312
response_time_bucket{method="GetLanguage",le="400"} 312
response_time_bucket{method="GetLanguage",le="500"} 312
response_time_bucket{method="GetLanguage",le="600"} 312
response_time_bucket{method="GetLanguage",le="700"} 312
response_time_bucket{method="GetLanguage",le="800"} 312
response_time_bucket{method="GetLanguage",le="900"} 312
response_time_bucket{method="GetLanguage",le="1000"} 312
response_time_bucket{method="GetLanguage",le="1500"} 312
response_time_bucket{method="GetLanguage",le="2000"} 312
response_time_bucket{method="GetLanguage",le="2500"} 312
response_time_bucket{method="GetLanguage",le="3000"} 312
response_time_bucket{method="GetLanguage",le="3500"} 312
response_time_bucket{method="GetLanguage",le="4000"} 312
response_time_bucket{method="GetLanguage",le="4500"} 312
response_time_bucket{method="GetLanguage",le="5000"} 312
response_time_bucket{method="GetLanguage",le="5500"} 312
response_time_bucket{method="GetLanguage",le="6000"} 312
response_time_bucket{method="GetLanguage",le="6500"} 312
response_time_bucket{method="GetLanguage",le="7000"} 312
response_time_bucket{method="GetLanguage",le="7500"} 312
response_time_bucket{method="GetLanguage",le="8000"} 312
response_time_bucket{method="GetLanguage",le="8500"} 312
response_time_bucket{method="GetLanguage",le="9000"} 312
response_time_bucket{method="GetLanguage",le="9500"} 312
response_time_bucket{method="GetLanguage",le="10000"} 312
response_time_bucket{method="GetLanguage",le="15000"} 312
response_time_bucket{method="GetLanguage",le="30000"} 312
response_time_bucket{method="GetLanguage",le="+Inf"} 312
response_time_sum{method="Logon"} 26245000.5342
response_time_count{method="Logon"} 1232
response_time_bucket{method="Logon",le="1"} 0
response_time_bucket{method="Logon",le="2"} 0
response_time_bucket{method="Logon",le="3"} 0
response_time_bucket{method="Logon",le="4"} 0
response_time_bucket{method="Logon",le="5"} 0
response_time_bucket{method="Logon",le="6"} 0
response_time_bucket{method="Logon",le="7"} 0
response_time_bucket{method="Logon",le="8"} 0
response_time_bucket{method="Logon",le="9"} 0
response_time_bucket{method="Logon",le="10"} 0
response_time_bucket{method="Logon",le="20"} 0
response_time_bucket{method="Logon",le="30"} 0
response_time_bucket{method="Logon",le="40"} 0
response_time_bucket{method="Logon",le="50"} 0
response_time_bucket{method="Logon",le="60"} 0
response_time_bucket{method="Logon",le="70"} 0
response_time_bucket{method="Logon",le="80"} 0
response_time_bucket{method="Logon",le="90"} 0
response_time_bucket{method="Logon",le="100"} 0
response_time_bucket{method="Logon",le="200"} 0
response_time_bucket{method="Logon",le="300"} 0
response_time_bucket{method="Logon",le="400"} 0
response_time_bucket{method="Logon",le="500"} 0
response_time_bucket{method="Logon",le="600"} 0
response_time_bucket{method="Logon",le="700"} 0
response_time_bucket{method="Logon",le="800"} 0
response_time_bucket{method="Logon",le="900"} 0
response_time_bucket{method="Logon",le="1000"} 0
response_time_bucket{method="Logon",le="1500"} 399
response_time_bucket{method="Logon",le="2000"} 773
response_time_bucket{method="Logon",le="2500"} 1093
response_time_bucket{method="Logon",le="3000"} 1111
response_time_bucket{method="Logon",le="3500"} 1231
response_time_bucket{method="Logon",le="4000"} 1232
response_time_bucket{method="Logon",le="4500"} 1232
response_time_bucket{method="Logon",le="5000"} 1232
response_time_bucket{method="Logon",le="5500"} 1232
response_time_bucket{method="Logon",le="6000"} 1232
response_time_bucket{method="Logon",le="6500"} 1232
response_time_bucket{method="Logon",le="7000"} 1232
response_time_bucket{method="Logon",le="7500"} 1232
response_time_bucket{method="Logon",le="8000"} 1232
response_time_bucket{method="Logon",le="8500"} 1232
response_time_bucket{method="Logon",le="9000"} 1232
response_time_bucket{method="Logon",le="9500"} 1232
response_time_bucket{method="Logon",le="10000"} 1232
response_time_bucket{method="Logon",le="15000"} 1232
response_time_bucket{method="Logon",le="30000"} 1232
response_time_bucket{method="Logon",le="+Inf"} 1232
response_time_sum{method="Search"} 1938000.5342
response_time_count{method="Search"} 492
response_time_bucket{method="Search",le="1"} 0
response_time_bucket{method="Search",le="2"} 0
response_time_bucket{method="Search",le="3"} 0
response_time_bucket{method="Search",le="4"} 0
response_time_bucket{method="Search",le="5"} 0
response_time_bucket{method="Search",le="6"} 0
response_time_bucket{method="Search",le="7"} 0
response_time_bucket{method="Search",le="8"} 0
response_time_bucket{method="Search",le="9"} 0
response_time_bucket{method="Search",le="10"} 0
response_time_bucket{method="Search",le="20"} 0
response_time_bucket{method="Search",le="30"} 0
response_time_bucket{method="Search",le="40"} 0
response_time_bucket{method="Search",le="50"} 0
response_time_bucket{method="Search",le="60"} 0
response_time_bucket{method="Search",le="70"} 0
response_time_bucket{method="Search",le="80"} 0
response_time_bucket{method="Search",le="90"} 0
response_time_bucket{method="Search",le="100"} 0
response_time_bucket{method="Search",le="200"} 286
response_time_bucket{method="Search",le="300"} 310
response_time_bucket{method="Search",le="400"} 321
response_time_bucket{method="Search",le="500"} 329
response_time_bucket{method="Search",le="600"} 429
response_time_bucket{method="Search",le="700"} 429
response_time_bucket{method="Search",le="800"} 476
response_time_bucket{method="Search",le="900"} 477
response_time_bucket{method="Search",le="1000"} 486
response_time_bucket{method="Search",le="1500"} 486
response_time_bucket{method="Search",le="2000"} 490
response_time_bucket{method="Search",le="2500"} 491
response_time_bucket{method="Search",le="3000"} 492
response_time_bucket{method="Search",le="3500"} 492
response_time_bucket{method="Search",le="4000"} 492
response_time_bucket{method="Search",le="4500"} 492
response_time_bucket{method="Search",le="5000"} 492
response_time_bucket{method="Search",le="5500"} 492
response_time_bucket{method="Search",le="6000"} 492
response_time_bucket{method="Search",le="6500"} 492
response_time_bucket{method="Search",le="7000"} 492
response_time_bucket{method="Search",le="7500"} 492
response_time_bucket{method="Search",le="8000"} 492
response_time_bucket{method="Search",le="8500"} 492
response_time_bucket{method="Search",le="9000"} 492
response_time_bucket{method="Search",le="9500"} 492
response_time_bucket{method="Search",le="10000"} 492
response_time_bucket{method="Search",le="15000"} 492
response_time_bucket{method="Search",le="30000"} 492
response_time_bucket{method="Search",le="+Inf"} 492
response_time_sum{method="GetVersionInfo"} 272615000.5342
response_time_count{method="GetVersionInfo"} 3221
response_time_bucket{method="GetVersionInfo",le="1"} 0
response_time_bucket{method="GetVersionInfo",le="2"} 0
response_time_bucket{method="GetVersionInfo",le="3"} 0
response_time_bucket{method="GetVersionInfo",le="4"} 0
response_time_bucket{method="GetVersionInfo",le="5"} 0
response_time_bucket{method="GetVersionInfo",le="6"} 0
response_time_bucket{method="GetVersionInfo",le="7"} 0
response_time_bucket{method="GetVersionInfo",le="8"} 0
response_time_bucket{method="GetVersionInfo",le="9"} 0
response_time_bucket{method="GetVersionInfo",le="10"} 0
response_time_bucket{method="GetVersionInfo",le="20"} 0
response_time_bucket{method="GetVersionInfo",le="30"} 0
response_time_bucket{method="GetVersionInfo",le="40"} 0
response_time_bucket{method="GetVersionInfo",le="50"} 0
response_time_bucket{method="GetVersionInfo",le="60"} 0
response_time_bucket{method="GetVersionInfo",le="70"} 0
response_time_bucket{method="GetVersionInfo",le="80"} 0
response_time_bucket{method="GetVersionInfo",le="90"} 0
response_time_bucket{method="GetVersionInfo",le="100"} 0
response_time_bucket{method="GetVersionInfo",le="200"} 0
response_time_bucket{method="GetVersionInfo",le="300"} 0
response_time_bucket{method="GetVersionInfo",le="400"} 0
response_time_bucket{method="GetVersionInfo",le="500"} 0
response_time_bucket{method="GetVersionInfo",le="600"} 0
response_time_bucket{method="GetVersionInfo",le="700"} 0
response_time_bucket{method="GetVersionInfo",le="800"} 0
response_time_bucket{method="GetVersionInfo",le="900"} 0
response_time_bucket{method="GetVersionInfo",le="1000"} 0
response_time_bucket{method="GetVersionInfo",le="1500"} 0
response_time_bucket{method="GetVersionInfo",le="2000"} 0
response_time_bucket{method="GetVersionInfo",le="2500"} 0
response_time_bucket{method="GetVersionInfo",le="3000"} 0
response_time_bucket{method="GetVersionInfo",le="3500"} 0
response_time_bucket{method="GetVersionInfo",le="4000"} 0
response_time_bucket{method="GetVersionInfo",le="4500"} 0
response_time_bucket{method="GetVersionInfo",le="5000"} 0
response_time_bucket{method="GetVersionInfo",le="5500"} 0
response_time_bucket{method="GetVersionInfo",le="6000"} 0
response_time_bucket{method="GetVersionInfo",le="6500"} 0
response_time_bucket{method="GetVersionInfo",le="7000"} 0
response_time_bucket{method="GetVersionInfo",le="7500"} 0
response_time_bucket{method="GetVersionInfo",le="8000"} 2224
response_time_bucket{method="GetVersionInfo",le="8500"} 2486
response_time_bucket{method="GetVersionInfo",le="9000"} 3043
response_time_bucket{method="GetVersionInfo",le="9500"} 3044
response_time_bucket{method="GetVersionInfo",le="10000"} 3137
response_time_bucket{method="GetVersionInfo",le="15000"} 3159
response_time_bucket{method="GetVersionInfo",le="30000"} 3191
response_time_bucket{method="GetVersionInfo",le="+Inf"} 3221
response_time_sum{method="GetCdaDocuments"} 15410000.5342
response_time_count{method="GetCdaDocuments"} 209
response_time_bucket{method="GetCdaDocuments",le="1"} 0
response_time_bucket{method="GetCdaDocuments",le="2"} 0
response_time_bucket{method="GetCdaDocuments",le="3"} 0
response_time_bucket{method="GetCdaDocuments",le="4"} 0
response_time_bucket{method="GetCdaDocuments",le="5"} 0
response_time_bucket{method="GetCdaDocuments",le="6"} 0
response_time_bucket{method="GetCdaDocuments",le="7"} 0
response_time_bucket{method="GetCdaDocuments",le="8"} 0
response_time_bucket{method="GetCdaDocuments",le="9"} 0
response_time_bucket{method="GetCdaDocuments",le="10"} 0
response_time_bucket{method="GetCdaDocuments",le="20"} 0
response_time_bucket{method="GetCdaDocuments",le="30"} 0
response_time_bucket{method="GetCdaDocuments",le="40"} 0
response_time_bucket{method="GetCdaDocuments",le="50"} 0
response_time_bucket{method="GetCdaDocuments",le="60"} 0
response_time_bucket{method="GetCdaDocuments",le="70"} 0
response_time_bucket{method="GetCdaDocuments",le="80"} 0
response_time_bucket{method="GetCdaDocuments",le="90"} 0
response_time_bucket{method="GetCdaDocuments",le="100"} 0
response_time_bucket{method="GetCdaDocuments",le="200"} 0
response_time_bucket{method="GetCdaDocuments",le="300"} 0
response_time_bucket{method="GetCdaDocuments",le="400"} 0
response_time_bucket{method="GetCdaDocuments",le="500"} 0
response_time_bucket{method="GetCdaDocuments",le="600"} 0
response_time_bucket{method="GetCdaDocuments",le="700"} 0
response_time_bucket{method="GetCdaDocuments",le="800"} 0
