# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_bucket{method="GetImageMetadata",le="9000"} 1
response_time_bucket{method="GetImageMetadata",le="9500"} 1
response_time_bucket{method="GetImageMetadata",le="10000"} 1
response_time_bucket{method="GetImageMetadata",le="15000"} 1
response_time_bucket{method="GetImageMetadata",le="30000"} 1
response_time_bucket{method="GetImageMetadata",le="+Inf"} 1
response_time_sum{method="Logout"} 13092000.5342
response_time_count{method="Logout"} 1728
response_time_bucket{method="Logout",le="1"} 0
response_time_bucket{method="Logout",le="2"} 0
response_time_bucket{method="Logout",le="3"} 0
response_time_bucket{method="Logout",le="4"} 0
response_time_bucket{method="Logout",le="5"} 0
response_time_bucket{method="Logout",le="6"} 0
response_time_bucket{method="Logout",le="7"} 0
response_time_bucket{method="Logout",le="8"} 0
response_time_bucket{method="Logout",le="9"} 0
response_time_bucket{method="Logout",le="10"} 0
response_time_bucket{method="Logout",le="20"} 0
response_time_bucket{method="Logout",le="30"} 0
response_time_bucket{method="Logout",le="40"} 0
response_time_bucket{method="Logout",le="50"} 0
response_time_bucket{method="Logout",le="60"} 0
response_time_bucket{method="Logout",le="70"} 0
response_time_bucket{method="Logout",le="80"} 0
response_time_bucket{method="Logout",le="90"} 0
response_time_bucket{method="Logout",le="100"} 0
response_time_bucket{method="Logout",le="200"} 0
response_time_bucket{method="Logout",le="300"} 0
response_time_bucket{method="Logout",le="400"} 0
response_time_bucket{method="Logout",le="500"} 0
response_time_bucket{method="Logout",le="600"} 242
response_time_bucket{method="Logout",le="700"} 922
response_time_bucket{method="Logout",le="800"} 1454
response_time_bucket{method="Logout",le="900"} 1665
response_time_bucket{method="Logout",le="1000"} 1717
response_time_bucket{method="Logout",le="1500"} 1723
response_time_bucket{method="Logout",le="2000"} 1726
response_time_bucket{method="Logout",le="2500"} 1727
response_time_bucket{method="Logout",le="3000"} 1728
response_time_bucket{method="Logout",le="3500"} 1728
response_time_bucket{method="Logout",le="4000"} 1728
response_time_bucket{method="Logout",le="4500"} 1728
response_time_bucket{method="Logout",le="5000"} 1728
response_time_bucket{method="Logout",le="5500"} 1728
response_time_bucket{method="Logout",le="6000"} 1728
response_time_bucket{method="Logout",le="6500"} 1728
response_time_bucket{method="Logout",le="7000"} 1728
response_time_bucket{method="Logout",le="7500"} 1728
response_time_bucket{method="Logout",le="8000"} 1728
response_time_bucket{method="Logout",le="8500"} 1728
response_time_bucket{method="Logout",le="9000"} 1728
response_time_bucket{method="Logout",le="9500"} 1728
response_time_bucket{method="Logout",le="10000"} 1728
response_time_bucket{method="Logout",le="15000"} 1728
response_time_bucket{method="Logout",le="30000"} 1728
response_time_bucket{method="Logout",le="+Inf"} 1728
response_time_sum{method="GetWorklistTree"} 1185000.5342
response_time_count{method="GetWorklistTree"} 32
response_time_bucket{method="GetWorklistTree",le="1"} 0
response_time_bucket{method="GetWorklistTree",le="2"} 0
response_time_bucket{method="GetWorklistTree",le="3"} 0
response_time_bucket{method="GetWorklistTree",le="4"} 0
response_time_bucket{method="GetWorklistTree",le="5"} 0
response_time_bucket{method="GetWorklistTree",le="6"} 0
response_time_bucket{method="GetWorklistTree",le="7"} 0
response_time_bucket{method="GetWorklistTree",le="8"} 0
response_time_bucket{method="GetWorklistTree",le="9"} 0
response_time_bucket{method="GetWorklistTree",le="10"} 0
response_time_bucket{method="GetWorklistTree",le="20"} 0
response_time_bucket{method="GetWorklistTree",le="30"} 0
response_time_bucket{method="GetWorklistTree",le="40"} 0
response_time_bucket{method="GetWorklistTree",le="50"} 0
response_time_bucket{method="GetWorklistTree",le="60"} 0
response_time_bucket{method="GetWorklistTree",le="70"} 0
response_time_bucket{method="GetWorklistTree",le="80"} 0
response_time_bucket{method="GetWorklistTree",le="90"} 0
response_time_bucket{method="GetWorklistTree",le="100"} 0
response_time_bucket{method="GetWorklistTree",le="200"} 0
response_time_bucket{method="GetWorklistTree",le="300"} 0
response_time_bucket{method="GetWorklistTree",le="400"} 0
response_time_bucket{method="GetWorklistTree",le="500"} 0
response_time_bucket{method="GetWorklistTree",le="600"} 0
response_time_bucket{method="GetWorklistTree",le="700"} 0
response_time_bucket{method="GetWorklistTree",le="800"} 0
response_time_bucket{method="GetWorklistTree",le="900"} 0
response_time_bucket{method="GetWorklistTree",le="1000"} 0
response_time_bucket{method="GetWorklistTree",le="1500"} 0
response_time_bucket{method="GetWorklistTree",le="2000"} 0
response_time_bucket{method="GetWorklistTree",le="2500"} 0
response_time_bucket{method="GetWorklistTree",le="3000"} 0
response_time_bucket{method="GetWorklistTree",le="3500"} 25
response_time_bucket{method="GetWorklistTree",le="4000"} 29
response_time_bucket{method="GetWorklistTree",le="4500"} 29
response_time_bucket{method="GetWorklistTree",le="5000"} 32
response_time_bucket{method="GetWorklistTree",le="5500"} 32
response_time_bucket{method="GetWorklistTree",le="6000"} 32
response_time_bucket{method="GetWorklistTree",le="6500"} 32
response_time_bucket{method="GetWorklistTree",le="7000"} 32
response_time_bucket{method="GetWorklistTree",le="7500"} 32
response_time_bucket{method="GetWorklistTree",le="8000"} 32
response_time_bucket{method="GetWorklistTree",le="8500"} 32
response_time_bucket{method="GetWorklistTree",le="9000"} 32
response_time_bucket{method="GetWorklistTree",le="9500"} 32
response_time_bucket{method="GetWorklistTree",le="10000"} 32
response_time_bucket{method="GetWorklistTree",le="15000"} 32
response_time_bucket{method="GetWorklistTree",le="30000"} 32
response_time_bucket{method="GetWorklistTree",le="+Inf"} 32
response_time_sum{method="GetReportsAndThumbnails"} 3057600.5342
response_time_count{method="GetReportsAndThumbnails"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="1"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="10"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="20"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="30"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="40"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="50"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="60"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="70"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="80"} 508
response_time_bucket{method="GetReportsAndThumbnails",le="90"} 1036
response_time_bucket{method="GetReportsAndThumbnails",le="100"} 1231
response_time_bucket{method="GetReportsAndThumbnails",le="200"} 1281
response_time_bucket{method="GetReportsAndThumbnails",le="300"} 1409
response_time_bucket{method="GetReportsAndThumbnails",le="400"} 1513
response_time_bucket{method="GetReportsAndThumbnails",le="500"} 1542
response_time_bucket{method="GetReportsAndThumbnails",le="600"} 1583
response_time_bucket{method="GetReportsAndThumbnails",le="700"} 1621
response_time_bucket{method="GetReportsAndThumbnails",le="800"} 1659
response_time_bucket{method="GetReportsAndThumbnails",le="900"} 1664
response_time_bucket{method="GetReportsAndThumbnails",le="1000"} 1664
response_time_bucket{method="GetReportsAndThumbnails",le="1500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="2000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="2500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="3000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="3500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="4000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="4500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="5000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="5500"} 1669
